seq,industry,group,code,name,facility,lat,lon,city,coord_source,verified
20,钢铁,独立测试集,600782,新余钢铁股份有限公司,新余钢铁集团本部,27.8,114.93,江西新余,Manual-research,NEEDS-VERIFY
21,钢铁,标杆,002110,福建三钢闽光股份有限公司,三钢闽光三明本部,26.25,117.63,福建三明,Manual-research,NEEDS-VERIFY
22,钢铁,标杆,000717,广东韶钢松山股份有限公司,韶钢松山曲江厂区,24.72,113.58,广东韶关曲江,Manual-research,NEEDS-VERIFY
23,建材,绿色,600585,安徽海螺水泥股份有限公司,海螺水泥白马山水泥厂,31.28,118.35,安徽芜湖,Manual-research,NEEDS-VERIFY
24,建材,绿色,000786,北新集团建材股份有限公司,北新建材涿州生产基地,39.48,115.98,河北保定涿州,Manual-research,NEEDS-VERIFY
25,建材,争议,601992,北京金隅集团股份有限公司,金隅冀东水泥唐山工厂,39.67,118.2,河北唐山,Manual-research,NEEDS-VERIFY
26,建材,争议,600801,华新水泥股份有限公司,华新水泥黄石工厂,30.22,115.08,湖北黄石,Manual-research,NEEDS-VERIFY
27,建材,争议,603737,三棵树涂料股份有限公司,三棵树莆田生产基地,25.37,119.0,福建莆田,Manual-research,NEEDS-VERIFY
28,建材,棕色,600819,上海耀皮玻璃集团股份有限公司,耀皮玻璃康桥基地,31.14,121.62,上海浦东,Manual-research,NEEDS-VERIFY
29,建材,独立测试集,002233,广东塔牌集团股份有限公司,塔牌集团蕉岭水泥厂,24.66,116.13,广东梅州蕉岭,Manual-research,NEEDS-VERIFY
30,建材,标杆,600176,中国巨石股份有限公司,中国巨石桐乡生产基地,30.63,120.54,浙江嘉兴桐乡,Manual-research,NEEDS-VERIFY
31,建材,标杆,600552,凯盛科技股份有限公司,凯盛科技蚌埠玻璃产业园,32.92,117.38,安徽蚌埠,Manual-research,NEEDS-VERIFY
32,有色,绿色,600497,云南驰宏锌锗股份有限公司,驰宏锌锗会泽冶炼厂,26.38,103.58,云南曲靖会泽,Manual-research,NEEDS-VERIFY
33,有色,绿色,002378,崇义章源钨业股份有限公司,章源钨业崇义冶炼厂,25.68,114.3,江西赣州崇义,Manual-research,NEEDS-VERIFY
34,有色,争议,601600,中国铝业股份有限公司（广西18）,中铝广西分公司平果铝,23.32,107.58,广西百色平果,Manual-research,NEEDS-VERIFY
35,有色,争议,600362,江西铜业股份有限公司（贵溪冶炼厂19）,江西铜业贵溪冶炼厂,28.3,117.22,江西鹰潭贵溪,Manual-research,NEEDS-VERIFY
36,有色,争议,000630,铜陵有色金属集团股份有限公司（金威铜业分公司18）,铜陵有色金威铜业,30.93,117.82,安徽铜陵,Manual-research,NEEDS-VERIFY
37,有色,棕色,600531,河南豫光金铅股份有限公司23,豫光金铅济源冶炼厂,35.09,112.58,河南济源,Manual-research,NEEDS-VERIFY
38,有色,独立测试集,600456,宝鸡钛业股份有限公司,宝鸡钛业宝钛工业园,34.32,107.23,陕西宝鸡,Manual-research,NEEDS-VERIFY
39,有色,标杆,000807,云南铝业股份有限公司,云南铝业呈贡铝厂,24.91,102.82,云南昆明呈贡,Manual-research,NEEDS-VERIFY
40,有色,标杆,002460,江西赣锋锂业股份有限公司,赣锋锂业新余生产基地,27.83,114.92,江西新余,Manual-research,NEEDS-VERIFY
41,石化,绿色,600028,中国石油化工股份有限公司（金陵分公司、北京燕山分公司、济南分公司、九江分公司、镇海炼化分公司）,镇海炼化,29.97,121.72,浙江宁波镇海,Manual-research,NEEDS-VERIFY
42,石化,绿色,000912,四川泸天化股份有限公司,泸天化纳溪生产基地,28.77,105.37,四川泸州纳溪,Manual-research,NEEDS-VERIFY
43,石化,争议,601857,中国石油天然气股份有限公司（独山子石化分公司、长庆石化分公司、）,独山子石化,44.33,84.85,新疆克拉玛依独山子,Manual-research,NEEDS-VERIFY
44,石化,棕色,600339,中油工程建设股份有限公司,中油工程总部,39.95,116.38,北京朝阳,Manual-research,NEEDS-VERIFY
45,石化,棕色,600871,中石化石油工程技术服务股份有限公司,中石化油服总部,39.93,116.4,北京朝阳,Manual-research,NEEDS-VERIFY
46,石化,独立测试集,000554,中国石化山东泰山石油股份有限公司,泰山石油泰安油库,36.18,117.09,山东泰安,Manual-research,NEEDS-VERIFY
47,石化,标杆,600346,恒力石化股份有限公司（恒力石化（大连）有限公司19）,恒力石化长兴岛基地,39.55,121.38,辽宁大连长兴岛,Manual-research,NEEDS-VERIFY
48,石化,标杆,002493,荣盛石化股份有限公司（逸盛大化石化有限公司19）,荣盛石化浙石化舟山,30.08,121.95,浙江舟山鱼山岛,Manual-research,NEEDS-VERIFY
49,石化,争议,600688,上海石油化工股份有限公司,上海石化金山厂区,30.72,121.34,上海金山区,Manual-research,NEEDS-VERIFY
50,化工,绿色,002092,中泰化学股份有限公司,中泰化学米东工业园,43.97,87.68,新疆乌鲁木齐米东,Manual-research,NEEDS-VERIFY
51,化工,绿色,002648,卫星化学股份有限公司,卫星化学平湖基地,30.7,121.02,浙江嘉兴平湖,Manual-research,NEEDS-VERIFY
52,化工,争议,000830,鲁西化工集团股份有限公司,鲁西化工聊城工业园,36.42,116.03,山东聊城,Manual-research,NEEDS-VERIFY
53,化工,争议,600230,沧州大化股份有限公司,沧州大化临港基地,38.3,117.35,河北沧州临港,Manual-research,NEEDS-VERIFY
54,化工,棕色,600409,三友化工股份有限公司,三友化工南堡开发区,39.23,118.02,河北唐山曹妃甸,Manual-research,NEEDS-VERIFY
55,化工,棕色,000422,湖北宜化化工股份有限公司,湖北宜化猇亭基地,30.62,111.38,湖北宜昌猇亭,Manual-research,NEEDS-VERIFY
56,化工,独立测试集,300082,江苏奥克化学股份有限公司,奥克股份辽阳基地,41.25,123.18,辽宁辽阳,Manual-research,NEEDS-VERIFY
57,化工,标杆,600309,万华化学集团股份有限公司,万华化学烟台工业园,37.55,121.18,山东烟台,Manual-research,NEEDS-VERIFY
58,化工,标杆,600426,华鲁恒升化工股份有限公司,华鲁恒升德州基地,37.38,116.33,山东德州,Manual-research,NEEDS-VERIFY
59,造纸,绿色,002067,浙江景兴纸业股份有限公司,景兴纸业平湖基地,30.68,121.09,浙江嘉兴平湖,Manual-research,NEEDS-VERIFY
60,造纸,绿色,600963,岳阳林纸股份有限公司,岳阳林纸城陵矶基地,29.45,113.13,湖南岳阳,Manual-research,NEEDS-VERIFY
61,造纸,争议,000815,中冶美利云产业投资股份有限公司,美利云中卫基地,37.52,105.2,宁夏中卫,Manual-research,NEEDS-VERIFY
62,造纸,争议,600433,广东冠豪高新技术股份有限公司,冠豪高新湛江基地,21.2,110.38,广东湛江,Manual-research,NEEDS-VERIFY
63,造纸,争议,600567,山鹰国际控股股份有限公司,山鹰国际马鞍山基地,31.67,118.5,安徽马鞍山,Manual-research,NEEDS-VERIFY
64,造纸,棕色,600356,牡丹江恒丰纸业股份有限公司,恒丰纸业牡丹江基地,44.58,129.6,黑龙江牡丹江,Manual-research,NEEDS-VERIFY
65,造纸,独立测试集,002511,中顺洁柔纸业股份有限公司,中顺洁柔中山基地,22.55,113.37,广东中山,Manual-research,NEEDS-VERIFY
66,造纸,标杆,603165,浙江荣晟环保纸业股份有限公司,荣晟环保平湖基地,30.67,121.11,浙江嘉兴平湖,Manual-research,NEEDS-VERIFY
67,造纸,标杆,002078,山东太阳纸业股份有限公司,太阳纸业兖州基地,35.55,116.83,山东济宁兖州,Manual-research,NEEDS-VERIFY
68,航空,绿色,601111,中国国际航空股份有限公司,北京首都国际机场,40.08,116.58,北京顺义,Manual-research,NEEDS-VERIFY
69,航空,绿色,600029,中国南方航空股份有限公司,广州白云国际机场,23.39,113.3,广东广州花都,Manual-research,NEEDS-VERIFY
70,航空,争议,600115,中国东方航空股份有限公司,上海浦东国际机场,31.14,121.8,上海浦东,Manual-research,NEEDS-VERIFY
71,航空,争议,601021,春秋航空股份有限公司,上海虹桥国际机场,31.2,121.33,上海闵行,Manual-research,NEEDS-VERIFY
72,航空,棕色,600897,厦门国际航空港股份有限公司,厦门高崎国际机场,24.54,118.13,福建厦门,Manual-research,NEEDS-VERIFY
73,航空,棕色,600004,广州白云国际机场股份有限公司,广州白云国际机场,23.39,113.3,广东广州花都,Manual-research,NEEDS-VERIFY
74,航空,独立测试集,600221,海南航空控股股份有限公司,海口美兰国际机场,19.93,110.46,海南海口,Manual-research,NEEDS-VERIFY
75,航空,标杆,600009,上海国际机场股份有限公司,上海浦东国际机场,31.14,121.8,上海浦东,Manual-research,NEEDS-VERIFY
